time,t_data,ERK_data,NN_approx,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
57.625,0.0,0.0,0.06552421704834133,0.01104608060735413,0.07146446832705622,0.04032423411333635,0.11332180596844225,0.15841888323868408,0.09796223866857443,0.6477815625979809,0.011046167416216664,0.07146505740027749,0.019164310852748216,0.15884628745986729,0.44848376925933486,0.10999558828538267,0.7331176516395875
57.75,0.0,0.0,0.06626922641025584,0.01037683241544169,0.06694575965087594,0.039364718066553665,0.11168539314323651,0.15228693554777414,0.09784565738496488,0.6472563728154276,0.010376913964818506,0.066946310342085,0.017965553538832696,0.1525508213171302,0.4369193340822146,0.109867418775734,0.7326108174649271
57.875,0.0,0.0,0.06665352682177506,0.009748131921692021,0.06272128373188443,0.03836665061674752,0.11002178272259165,0.14631246773772466,0.09772917900451317,0.646729672193397,0.009748208530242091,0.06272179835943059,0.016844828141195853,0.14642285395665422,0.42510474666141496,0.10973933700449032,0.7321003674023456
58.0,0.0,0.0,0.06671573162042543,0.00915752246526857,0.05877122971569933,0.03733710550915787,0.10832839243885825,0.1404956316717716,0.09761280544613156,0.6462016058605007,0.009157594432339175,0.05877171143733787,0.0157968757326175,0.1404648804465044,0.41305018541200206,0.10961134761930229,0.7315865651716221
58.125,0.0,0.0,0.06649151928138447,0.00860269622688326,0.05507712085759587,0.03628264339552325,0.10660356201434776,0.13483627210739288,0.0974965383370597,0.6456723062915496,0.008602763833687372,0.055077571309651754,0.014816774522601986,0.13467864943624952,0.4007669381177604,0.10948345466306192,0.7310696581587204
58.25,0.0,0.0,0.06601380815137126,0.008081485210950248,0.051621738314993344,0.03520935988608651,0.10484643753827409,0.12933400687213464,0.09738037905478128,0.6451418943367923,0.008081548721665232,0.0516221595133358,0.013899928335555341,0.12906521780393496,0.38826745264753915,0.10935566164881862,0.730549878335841
58.375,0.0,0.0,0.06531295477751647,0.007591852774102669,0.048389048642459055,0.03412286589729474,0.10305688339126476,0.12398828665341124,0.09726432876306725,0.6446104801802793,0.007591912436895893,0.04838944315841685,0.013042052313919708,0.12362500454759033,0.37556539361942964,0.10922797162567285,0.7300274431316551
58.5,0.0,0.0,0.06441694773569895,0.007131885666950513,0.04536413153716198,0.03302827922406478,0.10123540002830256,0.11879844080010313,0.09714838844292993,0.6440781642281121,0.007131941714956084,0.04536450057374158,0.0122391568902913,0.11835784345350679,0.3626757055903102,0.10910038723671026,0.7295025562547833
58.625,0.0,0.0,0.06335157797798752,0.006699786558025489,0.0425331030876998,0.031930299109421675,0.099383026938673,0.11376371603887168,0.09703255891918086,0.6435450379287406,0.006699839210254092,0.04253344837005099,0.01148753083498616,0.11326303418600721,0.34961468335771445,0.10897291076991597,0.7289754084733227
58.75,0.0,0.0,0.06214061076019123,0.006293867010673316,0.03988304734517258,0.03083320272615591,0.09750127492637325,0.10888329678983515,0.0969168408832073,0.643011184530965,0.006293916472862621,0.039883370979360885,0.010783723987230678,0.10833939153461314,0.33640004993337613,0.10884554420289932,0.7284461783529901
58.875,0.0,0.0,0.06080593877306628,0.0059125408854390086,0.03740195048992411,0.029740854583588522,0.0955920619675462,0.10415631509237987,0.09680123491248559,0.6424766797816269,0.005912587350864069,0.03740225336024136,0.010124530116196379,0.10358529262782316,0.32305104266412243,0.10871828924216317,0.727915032956238
59.0,0.0,0.0,0.059367708866438995,0.005554318142200117,0.03507863377970155,0.02865678005557381,0.09365763727004614,0.09958185602045383,0.09668574148728729,0.6419415925663402,0.005554361792427428,0.03507891728079282,0.009506970228630089,0.09899872198117528,0.30958850781012026,0.10859114735756577,0.7273821285044999
59.125,0.0,0.0,0.05784444476362771,0.00521779901780661,0.03290269549297035,0.027584162498751917,0.09170053210743569,0.09515894877096188,0.09657036100497957,0.6414059854988322,0.0052178400233983836,0.03290296138624615,0.008928276538290373,0.09457731429372672,0.2960350036084683,0.10846411981254828,0.7268476110055386
59.25,0.0,0.0,0.05625315191979119,0.0049016685564646535,0.030864456139955542,0.026525849197812493,0.0897235131829157,0.09088655145493837,0.09645509379225534,0.640869915461313,0.004901707077651429,0.030864705110317425,0.00838587723417609,0.09031839494395273,0.28241491140588687,0.10833720769063379,0.7263116168476997
59.375,0.0,0.0,0.054609401114933454,0.004604691471524842,0.028954903279342605,0.02548441445121532,0.08772952393014234,0.08676353569486672,0.09633994011558732,0.6403334340992861,0.004604727658831024,0.028955136385435853,0.00787738212563199,0.08621901816530203,0.26875455377755264,0.10821041191864414,0.7257742733626986
59.5,0.0,0.0,0.05292740921157724,0.004325707318577971,0.02716564428333376,0.024462155972515966,0.08572164816893248,0.08278866223840603,0.09622490019016372,0.6397965882756792,0.004325741313404379,0.02716586303637623,0.007400569198738008,0.08227600290497278,0.2550823175821588,0.10808373328702944,0.725235699358411
59.625,0.0,0.0,0.051220109077931675,0.004063625960981996,0.025488862717085045,0.02346108935180876,0.08370307771385128,0.07896055422061572,0.09610997418751983,0.6392594204867289,0.004063657896163999,0.025489067695966594,0.006953372087071264,0.07848596638806668,0.2414287785378805,0.10795717246765775,0.7246960056229653
59.75,0.0,0.0,0.04949920575944272,0.0038174233101343578,0.023917274130341944,0.022482999853417417,0.08167706630919302,0.07527767541655417,0.09599516224205326,0.638721969242518,0.0038174533104615807,0.02391746605414377,0.006533868437855383,0.07484535542428522,0.227826822020929,0.10783073002937199,0.7241552954012683
59.875,0.0,0.0,0.0477752328728438,0.0035861373238302023,0.022444088073330433,0.021529443433183366,0.07964690054732601,0.07173830531483438,0.09588046445658474,0.6381842694160489,0.0035861655065281784,0.022444268237362265,0.006140269139820362,0.07135047550640682,0.21431175225029214,0.10770440645158527,0.7236136648449227
60.0,0.0,0.0,0.04605760609982723,0.0033688642470513404,0.02106297412639354,0.02060172968791685,0.07761587845813867,0.06834051494659305,0.09576588090710257,0.6376463525631949,0.003368890722243679,0.02106314311059031,0.00577090836970075,0.06799751775958647,0.20092137868431648,0.1075782021361526,0.7230712034363056
60.125,0.0,0.0,0.04435467012307842,0.0031647550805254374,0.019768027075355608,0.019700961978181226,0.07558727370029403,0.0650821521164436,0.09565141164680707,0.637108247215645,0.0031647799516668408,0.019768185295858987,0.005424234408951004,0.06478258380846813,0.18769606418948254,0.10745211741773011,0.722527994387389
60.25,0.0,0.0,0.04267374781103617,0.002973012263251683,0.018553736204023057,0.018828050816217322,0.07356430976933401,0.061960828820601374,0.09553705670955767,0.6365699791496393,0.002973035627526026,0.018553884707395538,0.0050988011798506535,0.061701708635465174,0.17467871428519915,0.10732615257280663,0.7219841150136825
60.375,0.0,0.0,0.04102119236352331,0.0027928865560056322,0.017414958957325345,0.017983690950413776,0.07155014667780125,0.05897391098512898,0.09542281611281006,0.6360315716328186,0.0027929085047078096,0.017415098412334556,0.004793260449706573,0.0587508815086847,0.16191468060141628,0.10720030782757127,0.7214396370834801
60.5,0.0,0.0,0.039402437866316475,0.002623674113668669,0.016346894023255527,0.017168387079362087,0.06954785572603014,0.056118518928844986,0.09530868986011598,0.6354930456503799,0.0026236947325653684,0.016347024636536492,0.004506354652924741,0.05592606506190589,0.1494515449579995,0.10707458336476057,0.7208946271424106
60.625,0.0,0.0,0.03782205241162617,0.002464713734946072,0.015345056250589916,0.01638248364038848,0.06756039542744706,0.05339153430104769,0.09519467794324984,0.6349544201125382,0.002464733104606812,0.015345178746481669,0.004236910282656352,0.05322321261199443,0.13733874398224916,0.10694897932961223,0.7203491468131479
60.75,0.0,0.0,0.036283795919378914,0.002315384278706087,0.014405255908026767,0.015626146737383224,0.0655906032705461,0.0507896087587509,0.09508078034401783,0.6344157120453348,0.002315402474816457,0.014405371049933582,0.003983831806221383,0.050638283801207225,0.12562698938239011,0.1068234958350368,0.7198032530700705
60.875,0.0,0.0,0.03479067838624783,0.0021751022368513883,0.013523578303904478,0.014899371990573642,0.06364118244603316,0.0483091805749121,0.09496699703579431,0.6338769367654473,0.0021751193305132193,0.013523686269655416,0.003746096061383678,0.04816725865310031,0.11436743821848001,0.10669813296610593,0.7192569984887284
61.0,0.0,0.0,0.033345019744699,0.0020433194542528363,0.01269636340492368,0.014202024661827543,0.06171468128227632,0.045946499762272414,0.0948533279848261,0.6333381080404067,0.002043335512262229,0.012696464555702646,0.0035227470935432644,0.04580615013128943,0.10361057403277375,0.1065728907839445,0.7187104314702452
61.125,0.0,0.0,0.031948512182339406,0.0019195209868270887,0.01192018885051169,0.013533839702978199,0.05981348659850168,0.04369765331743342,0.09473977315133933,0.6327992382356896,0.0019195360719298008,0.011920283912536515,0.003312891396894237,0.04355101529017648,0.09340477747845681,0.10644776932910274,0.7181635964413309
61.25,0.0,0.0,0.03060228233610346,0.0018032230893723945,0.01119185461321214,0.012894414103303066,0.057939821727016366,0.041558592675888226,0.09462633249047732,0.6322603384493932,0.0018032372605125246,0.011191943927289056,0.0031156935255423866,0.04139796510603477,0.08379459787584212,0.10632276862447787,0.7176165340314844
61.375,0.0,0.0,0.029306953210120168,0.0016939713253240095,0.01050836703185407,0.012283239756242547,0.05609573450669241,0.03952516782747135,0.09451300595309473,0.6317214186353267,0.0016939846378774515,0.010508450694923337,0.0029303720433865596,0.03934317307556041,0.07481878672587361,0.10619788867784453,0.7170692812302357
61.5,0.0,0.0,0.028062705213436068,0.0015913387910409574,0.009866924348751327,0.011699728862803892,0.05428308978962798,0.03759316140136145,0.09439979348642934,0.6311824877154496,0.0015913512970274308,0.009867002844769993,0.002756195784221732,0.037382882667261,0.06650821790168421,0.10607312948404876,0.7165218715288666
61.625,0.0,0.0,0.026869334950116175,0.0014949244476675078,0.009264904732061366,0.011143203664381453,0.05250357410409413,0.03575831919671761,0.09428669503467019,0.630643553682649,0.001494936195952736,0.00926497858098469,0.002592480395986611,0.0355134137088819,0.058883887187549847,0.10594849102691245,0.71597433505276
61.75,0.0,0.0,0.025726310974572564,0.0014043515540602585,0.00869985435066419,0.010612906589699963,0.05075869628126013,0.03401638179419527,0.09417371053943695,0.6301046236941975,0.0014043625905506877,0.008699923656878498,0.0024385851453742847,0.03373116779154665,0.05195523817283125,0.10582397328088969,0.71542669869201
