time,t_data,ERK_data,NN1,NN2,NN1_GT,NN2_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
18.875,18.875,0.2163089125238764,0.8793797368687264,0.07029659232076965,0.9193223689767434,0.06972371446672915,0.00023541424034252453,0.0014503247295337579,0.02124174744891539,0.08455995128568208,0.21622219000314688,0.014812936813833501,0.09391385500241951,0.00023541424034253513,0.0014503247295324059,0.021208728955135685,0.08465343312240331,0.2163089125238764,0.014811964388949,0.09391474606011445
19.0,19.0,0.20434144072462465,0.8800398658769187,0.07014149466493369,0.9195274335459525,0.06949971532686607,0.00022115121255007866,0.0013623616974321232,0.02107226276775689,0.08227762696155036,0.20424845260523766,0.014792449567417569,0.09361195452180897,0.00022115121255008864,0.0013623616974309239,0.021017593201534276,0.08236103528885985,0.20434144072462465,0.01479147844884201,0.09361284432822548
19.125,19.125,0.1926015441015302,0.8806816166194964,0.06999275975640801,0.9197320306120244,0.06927603746319974,0.00020775233792658335,0.001279738921058358,0.020912092858999035,0.08009780781748588,0.19250388584964764,0.01477198983417183,0.09331049568962718,0.00020775233792659292,0.0012797389210571573,0.020834386349182586,0.08016905241305886,0.1926015441015302,0.014771020020252653,0.0933113842415086
19.25,19.25,0.1811176415737497,0.8813049901906451,0.0698498772529232,0.9199361609660089,0.06905268634340882,0.00019516526007827187,0.0012021315764225251,0.020760686649367654,0.0780164758044287,0.18101714734539495,0.014751557580735378,0.09300948533163912,0.00019516526007828044,0.0012021315764212013,0.020658631479518727,0.07807342000147353,0.1811176415737497,0.014750589069821516,0.09301037262108998
19.375,19.375,0.16991878531676663,0.881910029138066,0.06971228073102093,0.9201398254010157,0.06882966704980455,0.00018334079472491808,0.0011292346693393168,0.02061750569640129,0.07602971403770496,0.16981751789279884,0.014731152773574034,0.09270892978953171,0.00018334079472492683,0.00112923466933801,0.020489881058332198,0.07607018765590516,0.16991878531676663,0.014730185564016018,0.09270981580432722
19.5,19.5,0.1590344147224209,0.8824968200712962,0.06957934881261822,0.9203430247119021,0.06860698430452454,0.000172232737511192,0.0010607618164120327,0.020482022044646574,0.07413370701254325,0.15893464826855433,0.014710775379009835,0.09240883495244032,0.00017223273751120011,0.0010607618164108893,0.02032771509308603,0.07415552058294105,0.1590344147224209,0.014709809469159868,0.09240971967638902
19.625,19.625,0.14849403382450388,0.8830654964304623,0.06945040844434586,0.9205457596950032,0.06838464249295642,0.00016179768346213846,0.0009964441019391533,0.02035371659785719,0.07232474032370981,0.14839822856924312,0.014690425363246606,0.09210920628625749,0.0001617976834621461,0.0009964441019381697,0.020171739409460154,0.07232570054291311,0.14849403382450388,0.014689460751458633,0.09211008969961458
19.75,19.75,0.13832680311350878,0.8836162413492044,0.06932474066032836,0.920748031147897,0.06816264568548548,0.00015199485737729272,0.0009360290059009134,0.020232078085451456,0.0705991999872131,0.13823757124379601,0.014670102692392037,0.09181004886083947,0.00015199485737730015,0.0009360290058998351,0.02002158403897195,0.07057712628785164,0.13832680311350878,0.014669139377021814,0.09181093094076644
19.875,19.875,0.12856104008800312,0.8841492905041428,0.06920158910150499,0.9209498398692008,0.06794099765766512,0.00014278595450069992,0.0008792793985052266,0.020116602701422254,0.0689535714676918,0.12848110252630454,0.014649807332476814,0.09151136737523358,0.00014278595450070637,0.0008792793985037125,0.01987690171013316,0.06890631353599416,0.12856104008800312,0.01464884531188195,0.09151224809629943
20.0,20.0,0.11922362861319037,0.8846649347930572,0.06908017145239911,0.9211511866583939,0.06771970190891659,0.00013413499084424785,0.0008259725970712819,0.020006794485360503,0.06738443851961155,0.11915576289035369,0.014629539249471126,0.09121316618106126,0.00013413499084425482,0.0008259725970701517,0.019737366436153342,0.06730989452829564,0.11922362861319037,0.014628578522011137,0.09121404551577875
